Geography,avg_vaccination_rate,median_vaccination_rate,std_vaccination_rate,min_vaccination_rate,max_vaccination_rate,record_count,avg_ci_lower,avg_ci_upper,first_year,last_year,FIPS
Lower Connecticut River Valley,58.5,58.5,,58.5,58.5,1,53.1,64.6,2022,2022,9130
Newport,56.07,58.8,9.55,36.8,66.1,7,51.67,60.27,2018,2022,44005
Southeastern Connecticut,55.4,55.4,,55.4,55.4,1,49.8,60.9,2022,2022,9180
Arlington,55.01,56.5,7.41,41.8,62.9,7,51.19,58.73,2018,2022,51013
Falls Church city,55.0,55.5,4.81,45.1,60.7,7,48.94,60.73,2018,2022,51610
James City,54.93,53.8,6.5,45.1,66.0,7,49.99,59.51,2018,2022,51095
Los Alamos,54.51,56.9,6.78,40.3,60.1,7,49.64,59.2,2018,2022,35028
Fairfax,54.19,56.3,6.49,42.2,59.6,7,51.29,57.07,2018,2022,51059
Capitol,54.1,54.1,,54.1,54.1,1,49.5,59.4,2022,2022,9110
South Central Connecticut,53.9,53.9,,53.9,53.9,1,48.6,59.6,2022,2022,9170
Transylvania,53.54,52.7,3.98,47.0,58.3,7,47.43,60.13,2018,2022,37175
Chittenden,53.41,57.3,8.07,37.3,61.6,7,49.49,57.23,2018,2022,50007
Norfolk,53.29,55.8,8.71,38.0,62.4,7,49.61,56.87,2018,2022,25021
Barnstable,53.21,56.6,8.1,37.0,61.0,7,48.59,57.56,2018,2022,25001
Olmsted,53.01,52.7,7.73,43.6,62.4,7,49.13,56.84,2018,2022,27109
Northwest Hills,53.0,53.0,,53.0,53.0,1,47.4,58.8,2022,2022,9160
Naugatuck Valley,53.0,53.0,,53.0,53.0,1,48.5,57.7,2022,2022,9140
Albemarle,52.8,56.9,6.65,43.1,57.9,7,48.17,57.3,2018,2022,51003
St. Charles,52.57,50.8,6.6,42.2,61.6,7,48.59,56.46,2018,2022,29183
Sarpy,52.44,54.0,6.24,41.8,59.9,7,49.19,55.61,2018,2022,31153
Dare,52.34,51.3,4.18,46.1,58.1,7,46.23,58.41,2018,2022,37055
Leelanau,52.23,54.4,7.51,39.8,61.2,7,46.2,58.13,2018,2022,26089
Kanawha,52.23,53.7,2.73,47.7,54.5,7,48.87,55.57,2018,2022,54039
Alexandria city,52.03,53.5,8.74,38.9,65.9,7,47.76,56.24,2018,2022,51510
Western Connecticut,51.6,51.6,,51.6,51.6,1,46.5,57.3,2022,2022,9190
Washtenaw,51.56,51.4,8.79,38.2,61.6,7,48.34,54.79,2018,2022,26161
Poquoson city,51.26,51.6,5.75,42.7,61.7,7,44.73,57.66,2018,2022,51735
Wake,51.26,51.5,5.59,41.6,60.5,7,47.83,54.6,2018,2022,37183
Allegheny,51.23,52.6,5.43,42.3,56.7,7,47.8,54.5,2018,2022,42003
Addison,51.19,51.4,7.18,39.1,59.5,7,47.04,55.39,2018,2022,50001
Hanover,51.14,51.7,6.79,40.0,62.9,7,46.44,55.73,2018,2022,51085
Clallam,51.1,50.9,8.35,39.2,64.9,7,46.76,55.24,2018,2022,53009
Mathews,51.06,51.8,6.21,43.0,58.4,7,45.26,56.8,2018,2022,51115
Northeastern Connecticut,51.0,51.0,,51.0,51.0,1,45.2,56.9,2022,2022,9150
Bristol,51.0,51.6,9.57,32.5,62.6,14,46.69,55.17,2018,2022,25005
Providence,50.89,51.3,8.69,33.6,60.3,7,47.1,54.6,2018,2022,44007
Ouray,50.86,51.0,5.28,40.7,57.2,7,44.54,56.96,2018,2022,8091
Keweenaw,50.66,49.4,7.31,39.6,60.0,7,44.11,56.86,2018,2022,26083
Loudoun,50.63,49.8,7.5,40.1,65.0,7,47.19,54.07,2018,2022,51107
Minnehaha,50.61,52.5,6.63,36.3,55.6,7,47.11,54.21,2018,2022,46099
Henrico,50.6,50.5,8.83,39.1,67.5,7,47.01,53.99,2018,2022,51087
Bernalillo,50.6,47.8,10.02,36.6,66.9,7,47.5,53.66,2018,2022,35001
Fairfax city,50.47,52.7,7.09,38.2,57.6,7,45.4,55.49,2018,2022,51600
Goochland,50.36,52.2,6.0,42.4,58.6,7,44.41,56.04,2018,2022,51075
Hinsdale,50.34,51.5,4.83,40.9,54.7,7,43.61,56.7,2018,2022,8053
Roanoke,50.31,53.4,6.02,40.8,56.5,7,45.93,54.84,2018,2022,51161
Anne Arundel,50.29,51.5,5.94,41.0,57.3,7,47.2,53.37,2018,2022,24003
Buncombe,50.14,51.3,3.87,45.1,54.5,7,45.5,54.77,2018,2022,37021
Litchfield,50.07,50.75,8.15,35.4,59.9,6,46.23,53.75,2018,2021,9005
Dukes,50.06,51.6,6.54,38.7,56.8,7,44.13,56.09,2018,2022,25007
Kitsap,50.01,50.2,6.96,36.4,56.3,7,46.49,53.39,2018,2022,53035
Sagadahoc,50.01,53.8,7.95,34.5,56.6,7,46.19,53.87,2018,2022,23023
New Hanover,49.99,51.1,4.45,41.6,55.9,7,45.6,54.59,2018,2022,37129
Bennington,49.99,50.6,5.98,39.0,56.9,7,45.9,54.1,2018,2022,50003
Ashe,49.9,50.4,2.84,43.9,52.4,7,43.79,56.07,2018,2022,37009
Durham,49.86,50.5,5.98,42.0,58.0,7,45.73,54.04,2018,2022,37063
Carteret,49.83,51.9,4.58,42.6,55.3,7,44.14,55.47,2018,2022,37031
Botetourt,49.77,49.6,3.99,42.2,54.8,7,44.1,55.46,2018,2022,51023
Waukesha,49.71,52.5,8.16,32.0,56.4,7,45.59,53.77,2018,2022,55133
Grand Isle,49.71,53.5,8.57,38.9,59.8,7,44.63,55.01,2018,2022,50013
Island,49.59,48.3,6.88,39.2,60.3,7,45.47,53.54,2018,2022,53029
Worcester,49.51,50.15,7.03,35.3,61.7,14,45.79,53.18,2018,2022,24047
Windsor,49.5,49.8,7.56,38.4,59.0,7,45.37,53.46,2018,2022,50027
Cape May,49.5,48.95,5.64,41.2,58.5,6,43.88,55.07,2018,2022,34009
Broomfield,49.47,51.2,5.5,37.7,53.8,7,44.69,54.17,2018,2022,8014
Whatcom,49.43,48.4,9.96,35.4,66.0,7,45.83,53.04,2018,2022,53073
Fluvanna,49.4,50.0,4.0,42.1,53.6,7,43.8,55.09,2018,2022,51065
Harford,49.4,51.3,7.33,35.6,58.9,7,45.73,53.09,2018,2022,24025
Baltimore,49.37,51.6,4.76,40.0,52.9,7,46.44,52.3,2018,2022,24005
Hunterdon,49.37,50.35,5.47,42.3,55.2,6,43.83,54.82,2018,2022,34019
Bucks,49.27,50.8,3.28,43.4,51.8,7,44.54,53.73,2018,2022,42017
Brookings,49.27,51.7,7.0,34.3,53.9,7,45.34,53.3,2018,2022,46011
Cheshire,49.24,50.6,8.8,32.5,59.5,7,44.96,53.5,2018,2022,33005
Hennepin,49.2,51.1,5.9,41.1,56.4,7,46.6,51.73,2018,2022,27053
Cerro Gordo,49.17,49.0,4.5,40.9,55.4,7,44.5,53.76,2018,2022,19033
Tolland,49.15,50.65,8.19,35.3,59.3,6,45.38,53.0,2018,2021,9013
Middlesex,49.14,50.45,7.72,36.4,62.3,26,45.24,53.14,2018,2022,9007
Pitkin,49.03,50.9,5.13,39.5,53.7,7,43.04,54.87,2018,2022,8097
Dane,49.03,55.1,11.0,32.5,60.0,7,45.44,52.56,2018,2022,55025
Kossuth,49.03,49.4,4.31,41.2,56.0,7,43.5,54.59,2018,2022,19109
Carver,48.96,51.4,7.04,38.6,56.5,7,44.67,53.2,2018,2022,27019
Rockbridge,48.93,49.9,4.08,41.7,53.3,7,43.29,54.5,2018,2022,51163
Belknap,48.91,49.1,7.95,34.4,60.8,7,44.59,53.14,2018,2022,33001
Georgetown,48.89,46.8,7.55,40.4,64.2,7,44.79,53.01,2018,2022,45043
Merrimack,48.86,52.4,8.54,32.0,56.6,7,44.94,52.77,2018,2022,33013
New London,48.83,50.8,8.42,33.4,57.6,6,45.3,52.4,2018,2021,9011
Story,48.8,49.5,5.33,38.4,56.2,7,43.96,53.69,2018,2022,19169
Boulder,48.73,50.1,6.72,35.3,56.7,7,45.13,52.33,2018,2022,8013
