Geography,Season/Survey Year,avg_vaccination_rate,record_count,avg_ci_lower,avg_ci_upper
Abbeville,2018,39.6,2,38.0,41.4
Abbeville,2019,42.6,1,40.8,44.6
Abbeville,2020,44.2,1,42.1,46.3
Abbeville,2021,43.6,2,33.7,53.55
Abbeville,2022,44.9,1,35.6,54.5
Acadia Parish,2018,32.6,2,30.8,34.5
Acadia Parish,2019,38.4,1,36.5,40.4
Acadia Parish,2020,37.0,1,35.0,39.1
Acadia Parish,2021,36.5,2,27.6,46.4
Acadia Parish,2022,37.8,1,29.5,46.4
Accomack,2018,38.7,2,37.15,40.45
Accomack,2019,47.3,1,45.7,48.9
Accomack,2020,48.7,1,46.9,50.6
Accomack,2021,43.45,2,35.1,52.25
Accomack,2022,39.4,1,31.8,47.6
Ada,2018,45.9,2,43.7,47.85
Ada,2019,42.3,1,40.4,44.4
Ada,2020,47.3,1,45.3,49.5
Ada,2021,50.45,2,46.7,54.3
Ada,2022,46.8,1,42.5,51.2
Adair,2018,36.64,8,34.36,38.98
Adair,2019,43.7,4,41.42,46.03
Adair,2020,45.18,4,42.65,48.0
Adair,2021,40.95,8,31.54,50.64
Adair,2022,39.88,4,30.75,49.42
Adams,2018,35.81,24,33.68,37.97
Adams,2019,42.67,12,40.51,44.95
Adams,2020,45.88,12,43.45,48.41
Adams,2021,42.91,24,33.76,52.48
Adams,2022,40.95,12,32.67,49.74
Addison,2018,41.95,2,39.8,44.25
Addison,2019,51.4,1,48.9,53.8
Addison,2020,54.3,1,51.7,57.2
Addison,2021,54.6,2,47.55,61.6
Addison,2022,59.5,1,54.0,65.0
Aiken,2018,47.55,2,45.95,49.15
Aiken,2019,45.8,1,43.9,47.5
Aiken,2020,42.3,1,40.4,44.4
Aiken,2021,49.3,2,43.6,55.1
Aiken,2022,41.9,1,37.4,46.9
Aitkin,2018,42.25,2,40.0,44.7
Aitkin,2019,48.3,1,45.8,50.9
Aitkin,2020,48.4,1,45.8,50.9
Aitkin,2021,44.75,2,35.55,54.6
Aitkin,2022,47.5,1,40.5,56.6
Alabama,2009,32.2,318,26.24,38.16
Alabama,2010,34.02,150,28.62,39.42
Alabama,2011,34.85,153,30.16,39.54
Alabama,2012,36.28,155,31.05,41.5
Alabama,2013,37.28,172,33.1,41.46
Alabama,2014,34.05,189,30.32,37.79
Alabama,2015,35.0,174,30.76,39.25
Alabama,2016,32.18,181,28.5,35.87
Alabama,2017,31.54,204,28.01,35.08
Alabama,2018,35.2,179,31.66,38.74
Alabama,2019,35.64,180,31.77,39.52
Alabama,2020,35.5,201,30.91,40.11
Alabama,2021,33.43,177,29.15,37.71
Alabama,2022,31.19,176,26.92,35.46
Alabama,2023,28.32,179,24.64,32.0
Alachua,2018,38.0,2,36.45,39.65
Alachua,2019,39.0,1,37.5,40.8
Alachua,2020,40.0,1,38.0,42.1
Alachua,2022,42.8,1,36.8,48.9
Alamance,2018,45.25,2,43.4,47.15
Alamance,2019,50.0,1,48.2,51.9
Alamance,2020,52.6,1,50.6,54.5
Alamance,2021,50.4,2,41.0,59.55
Alamance,2022,45.0,1,36.6,53.7
Alameda,2018,29.7,2,28.6,30.85
Alameda,2019,43.0,1,41.5,44.3
Alameda,2020,49.4,1,47.7,51.0
Alameda,2021,40.4,2,34.0,46.85
Alameda,2022,50.0,1,44.8,55.2
Alamosa,2018,34.05,2,32.2,36.0
Alamosa,2019,36.4,1,34.3,38.4
Alamosa,2020,42.9,1,40.7,45.3
Alamosa,2021,39.2,2,29.05,50.05
Alamosa,2022,35.9,1,27.0,45.5
Alaska,2009,32.93,323,26.03,39.82
Alaska,2010,31.99,143,23.95,40.03
Alaska,2011,29.93,148,23.62,36.24
Alaska,2012,32.95,151,27.31,38.59
Alaska,2013,33.75,172,28.92,38.58
Alaska,2014,34.69,178,29.23,40.15
Alaska,2015,30.95,173,25.89,36.0
Alaska,2016,31.53,170,25.27,37.8
Alaska,2017,31.4,195,25.49,37.32
Alaska,2018,33.15,172,27.81,38.49
Alaska,2019,36.22,172,30.61,41.83
Alaska,2020,34.07,200,28.93,39.21
Alaska,2021,34.1,174,28.99,39.21
Alaska,2022,31.64,175,26.95,36.32
Alaska,2023,32.45,177,27.05,37.86
Albany,2018,38.08,4,36.08,40.12
Albany,2019,41.45,2,39.25,43.7
Albany,2020,45.65,2,43.2,48.1
Albany,2021,49.78,4,43.82,55.75
Albany,2022,46.55,2,40.65,52.55
Albemarle,2018,43.35,2,41.3,45.35
Albemarle,2019,53.2,1,51.2,55.2
Albemarle,2020,56.9,1,54.6,59.2
Albemarle,2021,57.55,2,49.1,65.8
Albemarle,2022,57.7,1,50.6,64.4
Alcona,2018,41.25,2,38.8,43.85
Alcona,2019,47.4,1,44.8,50.1
Alcona,2020,51.0,1,48.1,54.4
Alcona,2021,50.35,2,38.1,62.2
Alcona,2022,56.5,1,46.0,66.5
Alcorn,2018,38.45,2,36.5,40.6
Alcorn,2019,41.9,1,40.1,44.0
Alcorn,2020,43.5,1,41.3,45.8
Alcorn,2021,40.75,2,30.5,51.25
Alcorn,2022,35.9,1,26.9,45.5
Aleutians East Borough,2018,29.45,2,27.95,31.1
Aleutians East Borough,2019,28.5,1,27.2,29.9
Aleutians East Borough,2020,36.8,1,35.1,38.8
Aleutians East Borough,2021,32.85,2,23.35,43.5
Aleutians East Borough,2022,33.3,1,24.3,43.1
Aleutians West Census Area,2018,34.45,2,33.0,35.95
Aleutians West Census Area,2019,30.2,1,28.8,31.6
Aleutians West Census Area,2020,34.3,1,32.8,35.7
Aleutians West Census Area,2021,35.55,2,27.55,46.05
Aleutians West Census Area,2022,33.5,1,26.0,43.8
Alexander,2018,38.6,4,36.4,40.65
Alexander,2019,42.5,2,40.55,44.65
Alexander,2020,47.55,2,45.55,49.7
Alexander,2021,44.98,4,33.58,56.58
Alexander,2022,43.65,2,33.2,54.75
Alexandria city,2018,41.95,2,40.35,43.6
Alexandria city,2019,49.2,1,47.4,50.8
Alexandria city,2020,53.5,1,51.7,55.2
Alexandria city,2021,60.1,2,52.15,67.8
Alexandria city,2022,57.4,1,50.2,64.9
Alfalfa,2018,42.05,2,39.75,44.45
Alfalfa,2019,45.6,1,43.4,47.9
Alfalfa,2020,47.2,1,44.7,49.7
Alfalfa,2021,44.1,2,33.2,55.25
Alfalfa,2022,37.2,1,27.9,47.6
Alger,2018,35.7,2,33.45,38.0
Alger,2019,43.4,1,41.2,45.6
Alger,2020,46.2,1,43.8,48.8
Alger,2021,46.2,2,35.05,57.8
Alger,2022,46.7,1,36.8,56.9
Allamakee,2018,41.5,2,39.3,43.9
Allamakee,2019,46.9,1,44.9,49.3
Allamakee,2020,50.6,1,47.9,52.9
Allamakee,2021,47.5,2,38.15,57.3
Allamakee,2022,51.2,1,41.9,59.8
Allegan,2018,37.15,2,35.05,39.35
Allegan,2019,43.3,1,41.2,45.5
Allegan,2020,46.5,1,44.0,49.1
Allegan,2021,52.7,2,43.8,61.45
Allegan,2022,49.9,1,42.2,57.8
Allegany,2018,34.65,4,32.9,36.58
Allegany,2019,43.3,2,41.25,45.65
Allegany,2020,45.75,2,43.3,48.35
Allegany,2021,43.85,4,37.78,50.18
Allegany,2022,41.45,2,34.45,48.7
Alleghany,2018,41.12,4,38.78,43.52
Alleghany,2019,48.55,2,46.25,51.0
Alleghany,2020,48.75,2,46.25,51.35
Alleghany,2021,47.35,4,35.95,58.3
Alleghany,2022,44.1,2,33.95,54.6
Allegheny,2018,43.9,2,42.05,45.75
Allegheny,2019,51.3,1,49.2,53.5
Allegheny,2020,56.2,1,53.9,58.4
Allegheny,2021,54.65,2,49.2,59.65
Allegheny,2022,54.0,1,49.0,58.8
Allen,2018,38.28,8,36.28,40.3
Allen,2019,41.82,4,39.88,43.98
Allen,2020,44.15,4,41.82,46.52
Allen,2021,43.45,8,35.7,51.58
Allen,2022,41.5,4,34.52,48.72
Allen Parish,2018,29.55,2,27.85,31.4
Allen Parish,2019,35.4,1,33.5,37.4
Allen Parish,2020,37.7,1,35.7,39.7
Allen Parish,2021,36.3,2,26.3,47.25
Allen Parish,2022,33.0,1,24.3,42.8
Allendale,2018,33.95,2,32.35,35.65
Allendale,2019,34.9,1,33.3,36.6
Allendale,2020,38.4,1,36.5,40.5
Allendale,2021,36.35,2,26.2,46.7
Allendale,2022,36.2,1,26.6,46.3
Alpena,2018,35.85,2,33.7,38.3
Alpena,2019,43.9,1,41.5,46.3
Alpena,2020,46.9,1,44.2,49.6
Alpena,2021,47.15,2,36.85,58.1
Alpena,2022,54.2,1,44.2,64.5
Alpine,2019,41.9,1,39.8,44.1
Alpine,2020,49.5,1,47.1,51.8
Alpine,2021,44.9,2,39.7,50.2
